comment_id,commenter_type,coalition,cluster_id
HHS-ONC-2026-0001-0398,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0397,HSP,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0399,MPS,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0400,HIT,Selective Universalists,2
HHS-ONC-2026-0001-0402,ADV,Limited Engagement,1
HHS-ONC-2026-0001-0401,HIT,Limited Engagement,1
HHS-ONC-2026-0001-0403,HIT,Limited Engagement,1
HHS-ONC-2026-0001-0404,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0405,HIT,Limited Engagement,1
HHS-ONC-2026-0001-0406,HSP,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0407,HSP,Selective Universalists,2
HHS-ONC-2026-0001-0408,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0410,MPS,Selective Universalists,2
HHS-ONC-2026-0001-0409,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0411,HIT,Limited Engagement,1
HHS-ONC-2026-0001-0412,HIT,Limited Engagement,1
HHS-ONC-2026-0001-0413,ADV,Selective Universalists,2
HHS-ONC-2026-0001-0415,HIT,Limited Engagement,1
HHS-ONC-2026-0001-0416,AIC,Limited Engagement,1
HHS-ONC-2026-0001-0417,ADV,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0414,AIC,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0419,HIT,Limited Engagement,1
HHS-ONC-2026-0001-0418,MPS,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0420,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0422,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0421,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0423,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0425,AIC,Limited Engagement,1
HHS-ONC-2026-0001-0424,HIT,Limited Engagement,1
HHS-ONC-2026-0001-0427,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0428,IND,Selective Universalists,2
HHS-ONC-2026-0001-0429,ADV,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0430,AIC,Selective Universalists,2
HHS-ONC-2026-0001-0432,IND,Limited Engagement,1
HHS-ONC-2026-0001-0431,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0435,IND,Limited Engagement,1
HHS-ONC-2026-0001-0433,ADV,Selective Universalists,2
HHS-ONC-2026-0001-0434,HSP,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0436,ADV,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0437,MPS,Limited Engagement,1
HHS-ONC-2026-0001-0438,ADV,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0439,HIT,Limited Engagement,1
HHS-ONC-2026-0001-0440,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0441,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0442,IND,Limited Engagement,1
HHS-ONC-2026-0001-0444,ADV,Limited Engagement,1
HHS-ONC-2026-0001-0447,MPS,Limited Engagement,1
HHS-ONC-2026-0001-0446,HIT,Selective Universalists,2
HHS-ONC-2026-0001-0445,MPS,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0443,IND,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0448,ADV,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0008,IND,Limited Engagement,1
HHS-ONC-2026-0001-0009,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0007,IND,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0068,IND,Limited Engagement,1
HHS-ONC-2026-0001-0426,IND,Limited Engagement,1
HHS-ONC-2026-0001-0327,ADV,Limited Engagement,1
HHS-ONC-2026-0001-0244,ADV,Selective Universalists,2
HHS-ONC-2026-0001-0251,IND,Limited Engagement,1
