topic,variable,commenter_type,commenter_label,n_yes,n_total,prevalence,ci95_lo,ci95_hi,chi2_overall,p_overall,test,cramers_v,q_value_bh,significant_bh_05
Patient safety,top_safety,TEC,Tech / pharma / device,5,8,0.625,0.306,0.863,37.26,0.0,Pearson χ²,0.289,0.0,True
FDA scope & device classification,top_fda_scope,ADV,Patient / consumer advocate,32,77,0.416,0.312,0.527,29.666,0.0005,Pearson χ²,0.258,0.0006,True
FDA scope & device classification,top_fda_scope,AIC,AI company,16,22,0.727,0.518,0.868,29.666,0.0005,Pearson χ²,0.258,0.0006,True
FDA scope & device classification,top_fda_scope,HIT,Health IT,67,124,0.54,0.453,0.626,29.666,0.0005,Pearson χ²,0.258,0.0006,True
FDA scope & device classification,top_fda_scope,HSP,Health system / provider,26,47,0.553,0.412,0.686,29.666,0.0005,Pearson χ²,0.258,0.0006,True
FDA scope & device classification,top_fda_scope,IND,Individual,23,88,0.261,0.181,0.362,29.666,0.0005,Pearson χ²,0.258,0.0006,True
FDA scope & device classification,top_fda_scope,LAB,Labor organization,4,5,0.8,0.376,0.964,29.666,0.0005,Pearson χ²,0.258,0.0006,True
FDA scope & device classification,top_fda_scope,MPS,Medical professional society,24,54,0.444,0.32,0.576,29.666,0.0005,Pearson χ²,0.258,0.0006,True
FDA scope & device classification,top_fda_scope,PAY,Payer / insurer,4,10,0.4,0.168,0.687,29.666,0.0005,Pearson χ²,0.258,0.0006,True
FDA scope & device classification,top_fda_scope,POL,Policy / academic / consulting,7,11,0.636,0.354,0.848,29.666,0.0005,Pearson χ²,0.258,0.0006,True
FDA scope & device classification,top_fda_scope,TEC,Tech / pharma / device,4,8,0.5,0.215,0.785,29.666,0.0005,Pearson χ²,0.258,0.0006,True
Interoperability & data standards,top_interoperability,ADV,Patient / consumer advocate,41,77,0.532,0.422,0.64,45.592,0.0,Pearson χ²,0.32,0.0,True
Interoperability & data standards,top_interoperability,AIC,AI company,15,22,0.682,0.473,0.836,45.592,0.0,Pearson χ²,0.32,0.0,True
Interoperability & data standards,top_interoperability,HIT,Health IT,103,124,0.831,0.755,0.886,45.592,0.0,Pearson χ²,0.32,0.0,True
Interoperability & data standards,top_interoperability,HSP,Health system / provider,34,47,0.723,0.582,0.831,45.592,0.0,Pearson χ²,0.32,0.0,True
